FP ID,Name,Website,Partners,Counsel,Associates,Firm Office Locations,Antitrust,Banking,Bankruptcy,Corporate,Data Privacy,ERISA,Energy,Entertainment,Environmental,FDA,Government,Health Care,Insurance,Intellectual Property,International Trade,Labor & Employment,Litigation,Media,Real Estate,Tax,Telecommunications,Transportation,Trusts & Estates,Practice Area Top 1,Practice Area Top 2,Practice Area Top 3,Total Attorneys,PPP
1363,Jenner & Block LLP,http://jenner.com,219,79,244,"Chicago, Illinois; London, UK; Los Angeles, California; New York, New York; Washington, District of Columbia; San Francisco, California; Los Angeles, California",6,10,13,32,9,7,17,12,12,1,54,,6,28,3,4,314,13,6,2,22,,3,Litigation : 314,Government : 54,Corporate : 32,560,"2,834,000"
3597,Buchalter,https://www.buchalter.com/,275,123,143,"Los Angeles, California; Irvine, California; Scottsdale, Arizona; San Francisco, California; Sacramento, California; Seattle, Washington; St. Helena, California; Portland, Oregon; San Diego, California; Salt Lake City, Utah; Denver, Colorado; Dallas, Texas; Nashville, Tennessee; Atlanta, Georgia; Chicago, Illinois",,35,34,79,10,2,10,9,9,,7,28,9,55,2,50,236,4,98,19,,1,42,Litigation : 236,Real Estate : 98,Corporate : 79,549,"805,000"
1001,Dickinson Wright PLLC,http://dickinsonwright.com,367,50,128,"Ann Arbor, Michigan; Austin, Texas; Columbus, Ohio; Detroit, Michigan; El Paso, Texas; Fort Lauderdale, Florida; Grand Rapids, Michigan; Lansing, Michigan; Las Vegas, Nevada; Lexington, Kentucky; Nashville, Tennessee; Phoenix, Arizona; Reno, Nevada; Saginaw, Michigan; Toronto, Canada; Troy, Michigan; Washington, District of Columbia; Chicago, Illinois; Mountain View, California; Denver, Colorado; Other, Canada; San Diego, California; Seattle, Washington",3,22,21,119,5,6,8,10,8,2,42,12,8,100,3,28,182,,85,18,3,,20,Litigation : 182,Corporate : 119,Intellectual Property : 100,547,"918,000"
2259,Snell & Wilmer LLP,http://swlaw.com,245,91,185,"Denver, Colorado; Las Vegas, Nevada; Los Angeles, California; Costa Mesa, California; Phoenix, Arizona; Reno, Nevada; Salt Lake City, Utah; Tucson, Arizona; Washington, District of Columbia; San Diego, California; Portland, Oregon; Bellevue, Washington; Los Cabos, Mexico; Dallas, Texas; Palo Alto, California",2,47,38,75,6,11,13,2,17,1,15,6,5,48,2,49,191,,85,11,1,4,18,Litigation : 191,Real Estate : 85,Corporate : 75,532,"1,322,000"
5052,Freeman Mathis & Gary LLP,https://www.fmglaw.com/,247,44,232,"Atlanta, Georgia; San Francisco, California; Philadelphia, Pennsylvania; Los Angeles, California; Tampa, Florida; Roseville, California; San Diego, California; Forest Park, Georgia; Cherry Hill, New Jersey; San Rafael, California; New York, New York; Seal Beach, California; Boston, Massachusetts; Lexington, Kentucky; Newark, New Jersey; Hartford, Connecticut; Cranberry Twp, Pennsylvania; Nashville, Tennessee; Columbus, Ohio; Plano, Texas; Cleveland, Ohio; Chicago, Illinois; Houston, Texas; El Segundo, California; Walnut Creek, California; Las Vegas, Nevada; Scottsdale, Arizona; Denver, Colorado; Fort Lauderdale, Florida; Wilmington, Delaware; Seattle, Washington; Miami, Florida; Maitland, Florida",1,7,,2,21,,,,2,,16,14,102,4,,102,403,,14,2,,8,,Litigation : 403,Insurance : 102,Labor & Employment : 102,529,"534,000"
5260,Goldberg Segalla LLP,http://goldbergsegalla.com,334,35,150,"Princeton, New Jersey; Buffalo, New York; White Plains, New York; Hartford, Connecticut; Chicago, Illinois; St. Louis, Missouri; Albany, New York; Garden City, New York; New York, New York; Rochester, New York; Syracuse, New York; Greensboro, North Carolina; Philadelphia, Pennsylvania; Newark, New Jersey; West Palm Beach, Florida; Baltimore, Maryland; Miami, Florida; Los Angeles, California; Orlando, Florida; Irvine, California; Raleigh, North Carolina; South San Francisco, California; Wilmington, Delaware",,1,1,2,3,1,,2,8,,2,,258,4,,30,286,,7,,,9,,Litigation : 286,Insurance : 258,Labor & Employment : 30,519,"1,000,000"
2299,Stinson LLP,http://stinson.com,270,65,174,"Minneapolis, Minnesota; Kansas City, Missouri; St. Louis, Missouri; Phoenix, Arizona; Denver, Colorado; Washington, District of Columbia; Omaha, Nebraska; Wichita, Kansas; Jefferson City, Missouri; Bismarck, North Dakota; Dallas, Texas; New York, New York; Tampa, Florida; Los Angeles, California; San Francisco, California; Irvine, California",6,48,33,70,7,12,30,5,18,2,12,8,7,39,3,46,186,,78,27,,7,28,Litigation : 186,Real Estate : 78,Corporate : 70,515,"1,129,000"
6706,Marshall Dennehey Warner Coleman & Goggin,https://marshalldennehey.com/,271,57,181,"Wilmington, Delaware; Fort Lauderdale, Florida; Jacksonville, Florida; Orlando, Florida; Tampa, Florida; Roseland, New Jersey; Mt. Laurel, New Jersey; Melville, New York; New York, New York; Purchase, New York; Cincinnati, Ohio; Cleveland, Ohio; Philadelphia, Pennsylvania; Pittsburgh, Pennsylvania; King of Prussia, Pennsylvania; Camp Hill, Pennsylvania; Erie, Pennsylvania; New Haven, Connecticut",,,1,,3,,,2,3,,8,18,137,1,,23,431,,5,,,3,,Litigation : 431,Insurance : 137,Labor & Employment : 23,511,"430,000"
1198,Holland & Hart,http://hollandhart.com,244,94,171,"Anchorage, Alaska; Aspen, Colorado; Billings, Montana; Boise, Idaho; Boulder, Colorado; Cheyenne, Wyoming; Denver, Colorado; Jackson, Wyoming; Las Vegas, Nevada; Reno, Nevada; Salt Lake City, Utah; Santa Fe, New Mexico; Washington, District of Columbia; Phoenix, Arizona",3,8,6,56,4,6,75,2,53,2,20,7,7,62,3,37,140,3,78,28,2,,29,Litigation : 140,Real Estate : 78,Energy : 75,509,"1,047,000"
2541,Benesch Friedlander Coplan & Aronoff LLP,http://beneschlaw.com,231,31,227,"Chicago, Illinois; Cleveland, Ohio; Columbus, Ohio; New York, New York; Wilmington, Delaware; San Francisco, California",1,26,22,103,18,12,12,5,2,,5,40,2,53,4,37,160,3,54,7,2,16,,Litigation : 160,Corporate : 103,Real Estate : 54,499,"1,401,000"
